query_id,AP
1,0.0933
2,0.1600
3,0.8468
4,0.6667
5,0.1067
6,0.2400
7,0.3125
8,0.2083
9,0.0000
10,0.2269
11,0.2083
12,0.0655
13,0.2000
14,0.0000
15,0.4000
16,0.4167
17,0.6667
18,0.2083
19,0.0000
20,0.3481
21,0.3333
22,0.0000
23,0.1667
24,0.5417
25,0.3946
26,0.0476
27,0.1667
28,0.0000
29,0.2667
30,0.0000
31,0.5000
32,0.1429
33,0.5000
34,0.2679
35,0.0000
36,0.1667
37,0.0100
38,0.0303
39,0.0595
40,0.1231
41,0.5750
42,0.3699
43,0.6143
44,0.0000
45,0.2500
46,0.3290
47,0.1892
48,0.1667
49,0.4444
50,0.0000
51,0.3227
52,0.9429
53,0.1169
54,0.2167
55,0.0758
56,0.0909
57,0.0222
58,0.0000
59,0.1000
60,0.4980
61,0.4889
62,0.0417
63,0.0000
64,0.3333
65,0.2896
66,0.0648
67,0.3385
68,0.3492
69,0.0000
70,0.0455
71,0.1111
72,0.0185
73,0.2302
74,0.0490
75,0.0000
76,0.1250
77,0.4500
78,0.4437
79,0.0333
80,0.2000
81,0.1500
82,0.2500
83,0.0000
84,0.0694
85,0.0000
86,0.9167
87,0.0278
88,0.8955
89,0.0714
90,0.0000
91,0.0833
92,0.3028
93,1.0000
94,0.3558
95,0.3333
96,0.0833
97,0.0563
98,0.0833
99,0.4857
100,0.3000
101,0.6376
102,0.2800
103,0.3333
104,0.1667
105,0.6667
106,0.1667
107,0.3021
108,0.6194
109,0.0208
110,0.2000
111,0.2094
112,0.5000
113,0.1333
114,0.2800
115,0.0000
116,0.0208
117,0.0000
118,0.0913
119,0.2429
120,0.5667
121,0.6643
122,0.2000
123,0.4074
124,0.2000
125,0.0270
126,0.0926
127,0.0278
128,0.3333
129,0.5208
130,0.5167
131,0.0463
132,0.3599
133,0.0139
134,0.5556
135,0.4840
136,0.2917
137,0.4857
138,0.2778
139,0.0333
140,0.2917
141,0.0357
142,0.5000
143,0.1667
144,0.6440
145,0.2896
146,1.0000
147,0.3333
148,0.5071
149,0.1639
150,0.6389
151,0.0000
152,0.0000
153,0.0625
154,0.5000
155,0.3095
156,0.4583
157,0.0104
158,0.0556
159,0.1667
160,0.2778
161,0.3452
162,0.1111
163,0.5417
164,0.4222
165,0.4167
166,0.1111
167,0.0000
168,0.5556
169,0.2667
170,0.3714
171,0.5000
172,1.0000
173,1.0000
174,0.0787
175,0.2143
176,0.0625
177,0.7107
178,0.1924
179,0.0500
180,0.4583
181,0.0333
182,0.7917
183,0.4107
184,0.1250
185,0.5690
186,0.0941
187,0.4286
188,0.3333
189,0.1000
190,0.0810
191,0.0949
192,0.8000
193,0.6361
194,0.1429
195,0.2500
196,0.1484
197,0.7750
198,0.1500
199,0.0000
200,0.7611
201,0.1683
202,0.1956
203,0.0667
204,0.0244
205,0.6667
206,0.4167
207,0.0000
208,0.5071
209,0.0096
210,0.4286
211,0.0083
212,0.2621
213,0.4554
214,0.3933
215,0.3333
216,0.0000
217,0.0078
218,0.0063
219,0.0263
220,0.0071
221,0.1090
222,0.4531
223,0.1800
224,0.0278
225,0.0147
