query_id,fscore
1,0.3623
2,0.3077
3,0.8163
4,0.2326
5,0.2222
6,0.2222
7,0.3261
8,0.2885
9,0.0000
10,0.3061
11,0.2083
12,0.2174
13,0.1111
14,0.0000
15,0.2326
16,0.2273
17,0.2326
18,0.2273
19,0.0000
20,0.5000
21,0.2222
22,0.0000
23,0.4110
24,0.3409
25,0.5000
26,0.1064
27,0.2273
28,0.0000
29,0.4000
30,0.0000
31,0.1190
32,0.1064
33,0.3409
34,0.3191
35,0.0000
36,0.1163
37,0.1000
38,0.0980
39,0.1852
40,0.2830
41,0.3409
42,0.4348
43,0.5319
44,0.0000
45,0.3774
46,0.5357
47,0.4545
48,0.1923
49,0.2326
50,0.0000
51,0.3922
52,0.5556
53,0.1961
54,0.3000
55,0.1961
56,0.0980
57,0.0909
58,0.0000
59,0.1111
60,0.4348
61,0.4348
62,0.1087
63,0.0000
64,0.1163
65,0.4464
66,0.2174
67,0.6364
68,0.3261
69,0.0000
70,0.0980
71,0.1020
72,0.0862
73,0.4098
74,0.2128
75,0.0000
76,0.1042
77,0.4255
78,0.3409
79,0.1087
80,0.1111
81,0.2326
82,0.2174
83,0.0000
84,0.1923
85,0.0000
86,0.3488
87,0.1020
88,0.7447
89,0.1064
90,0.0000
91,0.2000
92,0.5556
93,0.2381
94,0.4717
95,0.1163
96,0.1852
97,0.1961
98,0.1087
99,0.3333
100,0.3000
101,0.6383
102,0.2222
103,0.1163
104,0.1087
105,0.4348
106,0.2174
107,0.3125
108,0.6250
109,0.1087
110,0.1111
111,0.4167
112,0.2326
113,0.2222
114,0.2222
115,0.0000
116,0.1087
117,0.0000
118,0.2273
119,0.2381
120,0.6000
121,0.6250
122,0.4000
123,0.2326
124,0.1111
125,0.1724
126,0.2041
127,0.1087
128,0.1163
129,0.5208
130,0.4348
131,0.2041
132,0.7143
133,0.1042
134,0.2326
135,0.5102
136,0.2273
137,0.3333
138,0.2326
139,0.1111
140,0.3191
141,0.1064
142,0.1190
143,0.1163
144,0.6383
145,0.4167
146,0.3488
147,0.3922
148,0.4255
149,0.2885
150,0.3488
151,0.0000
152,0.0000
153,0.1042
154,0.3488
155,0.4255
156,0.6364
157,0.1250
158,0.1020
159,0.2041
160,0.2174
161,0.3191
162,0.1020
163,0.3409
164,0.4082
165,0.2326
166,0.1020
167,0.0000
168,0.2326
169,0.2222
170,0.3191
171,0.2273
172,0.5556
173,0.3488
174,0.2174
175,0.2174
176,0.1042
177,0.5435
178,0.3333
179,0.1111
180,0.4167
181,0.1087
182,0.3488
183,0.5556
184,0.3125
185,0.6000
186,0.2632
187,0.3191
188,0.3846
189,0.1000
190,0.2174
191,0.2778
192,0.4444
193,0.7000
194,0.1064
195,0.1136
196,0.2830
197,0.4545
198,0.2222
199,0.0000
200,0.4545
201,0.3509
202,0.3636
203,0.1818
204,0.1818
205,0.2326
206,0.2273
207,0.0000
208,0.4255
209,0.0943
210,0.3191
211,0.0962
212,0.4545
213,0.5769
214,0.3333
215,0.1163
216,0.0000
217,0.0893
218,0.0893
219,0.0847
220,0.0833
221,0.3390
222,0.6000
223,0.2222
224,0.1020
225,0.1538
