query_id,nDCG
1,0.2753
2,0.5677
3,0.9568
4,0.9184
5,0.1890
6,0.6790
7,0.7266
8,0.5594
9,0.0000
10,0.3908
11,0.7094
12,0.2437
13,0.6320
14,0.0000
15,0.2825
16,0.7430
17,0.7871
18,0.4055
19,0.0000
20,0.7616
21,0.5756
22,0.0000
23,0.5028
24,0.8672
25,0.3336
26,0.1764
27,0.4500
28,0.0000
29,0.3652
30,0.0000
31,0.9596
32,0.6235
33,0.8844
34,0.6896
35,0.0000
36,0.0905
37,0.1438
38,0.2034
39,0.2265
40,0.3182
41,0.6791
42,0.8243
43,0.7457
44,0.0000
45,0.6621
46,0.7339
47,0.4815
48,0.6413
49,0.9239
50,0.0000
51,0.4107
52,0.6433
53,0.0641
54,0.7255
55,0.1070
56,0.6201
57,0.3004
58,0.0000
59,0.0810
60,0.4775
61,0.5752
62,0.0389
63,0.0000
64,0.5364
65,0.6203
66,0.1740
67,0.5025
68,0.7979
69,0.0000
70,0.2460
71,0.3375
72,0.0160
73,0.6284
74,0.1037
75,0.0000
76,0.1057
77,0.2049
78,0.4958
79,0.2966
80,0.4358
81,0.4220
82,0.2275
83,0.0000
84,0.0760
85,0.0000
86,0.7479
87,0.2494
88,0.8713
89,0.1747
90,0.0000
91,0.2299
92,0.1498
93,1.0000
94,0.2203
95,0.0401
96,0.4304
97,0.0613
98,0.4487
99,0.8573
100,0.6856
101,0.6307
102,0.2970
103,0.8155
104,0.6845
105,0.9600
106,0.1588
107,0.7178
108,0.5742
109,0.1334
110,0.4459
111,0.4550
112,0.8872
113,0.1232
114,0.6839
115,0.0000
116,0.0329
117,0.0000
118,0.1399
119,0.3926
120,0.8523
121,0.7003
122,0.4078
123,0.8179
124,0.5913
125,0.1025
126,0.2224
127,0.0428
128,0.8155
129,0.6659
130,0.7599
131,0.1973
132,0.3911
133,0.0091
134,0.7889
135,0.3040
136,0.6680
137,0.7657
138,0.4632
139,0.2030
140,0.7096
141,0.0758
142,0.6131
143,0.2961
144,0.7417
145,0.3362
146,0.7689
147,0.7861
148,0.6528
149,0.2094
150,0.6663
151,0.0000
152,0.0000
153,0.4331
154,0.4737
155,0.3121
156,0.4584
157,0.0506
158,0.2438
159,0.6558
160,0.8077
161,0.4035
162,0.1375
163,0.8925
164,0.7788
165,0.6173
166,0.3970
167,0.0000
168,0.7039
169,0.4600
170,0.5356
171,0.7552
172,1.0000
173,1.0000
174,0.2645
175,0.6155
176,0.2030
177,0.7250
178,0.4167
179,0.3099
180,0.8317
181,0.0412
182,0.9787
183,0.2294
184,0.4077
185,0.5389
186,0.1695
187,0.8267
188,0.5035
189,0.4792
190,0.1828
191,0.1124
192,0.8688
193,0.5423
194,0.4993
195,0.7620
196,0.1654
197,0.6378
198,0.2445
199,0.0000
200,0.9345
201,0.3355
202,0.5348
203,0.4399
204,0.1246
205,0.7184
206,0.7642
207,0.0000
208,0.8983
209,0.0327
210,0.6022
211,0.0104
212,0.5176
213,0.7814
214,0.8331
215,0.9299
216,0.0000
217,0.0200
218,0.0195
219,0.0459
220,0.0332
221,0.1378
222,0.4541
223,0.1465
224,0.2674
225,0.1767
