query_id,precision
1,0.5000
2,0.4000
3,0.8000
4,0.2000
5,0.2000
6,0.2000
7,0.3000
8,0.3000
9,0.0000
10,0.3000
11,0.2000
12,0.2000
13,0.1000
14,0.0000
15,0.2000
16,0.2000
17,0.2000
18,0.2000
19,0.0000
20,0.5000
21,0.2000
22,0.0000
23,0.6000
24,0.3000
25,0.5000
26,0.1000
27,0.2000
28,0.0000
29,0.4000
30,0.0000
31,0.1000
32,0.1000
33,0.3000
34,0.3000
35,0.0000
36,0.1000
37,0.1000
38,0.1000
39,0.2000
40,0.3000
41,0.3000
42,0.4000
43,0.5000
44,0.0000
45,0.4000
46,0.6000
47,0.5000
48,0.2000
49,0.2000
50,0.0000
51,0.4000
52,0.5000
53,0.2000
54,0.3000
55,0.2000
56,0.1000
57,0.1000
58,0.0000
59,0.1000
60,0.4000
61,0.4000
62,0.1000
63,0.0000
64,0.1000
65,0.5000
66,0.2000
67,0.7000
68,0.3000
69,0.0000
70,0.1000
71,0.1000
72,0.1000
73,0.5000
74,0.2000
75,0.0000
76,0.1000
77,0.4000
78,0.3000
79,0.1000
80,0.1000
81,0.2000
82,0.2000
83,0.0000
84,0.2000
85,0.0000
86,0.3000
87,0.1000
88,0.7000
89,0.1000
90,0.0000
91,0.2000
92,0.6000
93,0.2000
94,0.5000
95,0.1000
96,0.2000
97,0.2000
98,0.1000
99,0.3000
100,0.3000
101,0.6000
102,0.2000
103,0.1000
104,0.1000
105,0.4000
106,0.2000
107,0.3000
108,0.6000
109,0.1000
110,0.1000
111,0.4000
112,0.2000
113,0.2000
114,0.2000
115,0.0000
116,0.1000
117,0.0000
118,0.2000
119,0.2000
120,0.6000
121,0.6000
122,0.4000
123,0.2000
124,0.1000
125,0.2000
126,0.2000
127,0.1000
128,0.1000
129,0.5000
130,0.4000
131,0.2000
132,0.8000
133,0.1000
134,0.2000
135,0.5000
136,0.2000
137,0.3000
138,0.2000
139,0.1000
140,0.3000
141,0.1000
142,0.1000
143,0.1000
144,0.6000
145,0.4000
146,0.3000
147,0.4000
148,0.4000
149,0.3000
150,0.3000
151,0.0000
152,0.0000
153,0.1000
154,0.3000
155,0.4000
156,0.7000
157,0.2000
158,0.1000
159,0.2000
160,0.2000
161,0.3000
162,0.1000
163,0.3000
164,0.4000
165,0.2000
166,0.1000
167,0.0000
168,0.2000
169,0.2000
170,0.3000
171,0.2000
172,0.5000
173,0.3000
174,0.2000
175,0.2000
176,0.1000
177,0.5000
178,0.3000
179,0.1000
180,0.4000
181,0.1000
182,0.3000
183,0.6000
184,0.3000
185,0.6000
186,0.3000
187,0.3000
188,0.4000
189,0.1000
190,0.2000
191,0.3000
192,0.4000
193,0.7000
194,0.1000
195,0.1000
196,0.3000
197,0.4000
198,0.2000
199,0.0000
200,0.4000
201,0.4000
202,0.4000
203,0.2000
204,0.2000
205,0.2000
206,0.2000
207,0.0000
208,0.4000
209,0.1000
210,0.3000
211,0.1000
212,0.5000
213,0.6000
214,0.3000
215,0.1000
216,0.0000
217,0.1000
218,0.1000
219,0.1000
220,0.1000
221,0.4000
222,0.6000
223,0.2000
224,0.1000
225,0.2000
