query_id,AP
1,0.2075
2,0.0800
3,0.9283
4,1.0000
5,0.2083
6,0.0844
7,0.4583
8,0.1667
9,0.0000
10,0.3474
11,0.1982
12,0.5361
13,0.2000
14,0.0000
15,0.1389
16,0.5000
17,0.6667
18,0.2083
19,0.0000
20,0.7764
21,0.4857
22,0.0000
23,0.0931
24,0.7500
25,0.4863
26,0.0643
27,0.1333
28,0.0000
29,0.2262
30,0.0208
31,0.5000
32,0.1429
33,0.6937
34,0.4020
35,0.0278
36,0.6667
37,0.1050
38,0.1111
39,0.2020
40,0.1256
41,0.5833
42,0.4119
43,0.4184
44,0.0000
45,0.1227
46,0.3125
47,0.3100
48,0.0583
49,0.2444
50,0.0000
51,0.4091
52,0.4038
53,0.3586
54,0.2000
55,0.2970
56,0.1788
57,0.0467
58,0.1167
59,0.4121
60,0.3032
61,0.6994
62,0.0000
63,0.0000
64,0.0000
65,0.3750
66,0.3306
67,0.2938
68,0.1667
69,0.0000
70,0.0227
71,0.1111
72,0.0667
73,0.2857
74,0.0000
75,0.0208
76,0.3021
77,0.7010
78,0.3500
79,0.2500
80,0.2800
81,0.1778
82,0.4583
83,0.0000
84,0.1190
85,0.0000
86,0.9167
87,0.0000
88,0.9571
89,0.1429
90,0.0462
91,0.3100
92,0.6188
93,1.0000
94,0.2202
95,0.4074
96,0.4184
97,0.1854
98,0.1667
99,0.3100
100,0.3000
101,0.7870
102,0.2000
103,0.3333
104,0.0608
105,0.8333
106,0.2103
107,0.3438
108,0.4083
109,0.0000
110,0.2000
111,0.2556
112,0.6667
113,0.0000
114,0.1671
115,0.0000
116,0.0556
117,0.0000
118,0.1458
119,0.0000
120,0.4175
121,0.1827
122,0.3463
123,0.4074
124,0.2000
125,0.0056
126,0.1148
127,0.0333
128,0.1667
129,0.8594
130,0.8333
131,0.1243
132,0.2222
133,0.0389
134,0.3595
135,0.2827
136,0.2500
137,0.4533
138,0.2778
139,0.0000
140,0.1786
141,0.1786
142,0.1667
143,0.1111
144,0.6262
145,0.5052
146,0.9167
147,0.3106
148,0.4745
149,0.1931
150,0.4429
151,0.0000
152,0.0000
153,0.0625
154,0.7222
155,0.2721
156,0.5333
157,0.0433
158,0.1852
159,0.1556
160,0.2500
161,0.3452
162,0.1667
163,0.6875
164,0.1296
165,0.8095
166,0.1111
167,0.0333
168,0.5556
169,0.5639
170,0.4667
171,0.5238
172,0.9667
173,1.0000
174,0.0185
175,0.2333
176,0.1667
177,0.8218
178,0.2933
179,0.1667
180,0.5625
181,0.0185
182,0.8333
183,0.5714
184,0.4289
185,0.5911
186,0.0824
187,0.2857
188,0.3456
189,0.2471
190,0.1667
191,0.1457
192,0.8100
193,0.5690
194,0.1905
195,0.2500
196,0.0000
197,1.0000
198,0.1444
199,0.0000
200,0.8167
201,0.2603
202,0.2648
203,0.0300
204,0.0644
205,0.0000
206,0.5000
207,0.0000
208,0.5000
209,0.1333
210,0.2440
211,0.1167
212,0.3083
213,0.4417
214,0.3667
215,0.4074
216,0.0000
217,0.0125
218,0.0365
219,0.0088
220,0.1172
221,0.2244
222,0.5498
223,0.1071
224,0.0111
225,0.0040
