query_id,recall
1,0.2414
2,0.0800
3,1.0000
4,1.0000
5,0.6000
6,0.4000
7,0.5000
8,0.1667
9,0.0000
10,0.5556
11,0.3750
12,0.6667
13,0.2000
14,0.0000
15,0.6667
16,0.5000
17,0.6667
18,0.5000
19,0.0000
20,0.8000
21,0.6000
22,0.0000
23,0.1212
24,0.7500
25,0.6000
26,0.2857
27,0.5000
28,0.0000
29,0.4000
30,0.1250
31,0.5000
32,0.1429
33,1.0000
34,0.7143
35,0.2500
36,0.6667
37,0.3000
38,0.1818
39,0.3571
40,0.2308
41,0.7500
42,0.6667
43,0.5714
44,0.0000
45,0.2308
46,0.3125
47,0.4000
48,0.1667
49,0.6667
50,0.0000
51,0.4545
52,0.8000
53,0.4545
54,0.2000
55,0.3636
56,0.2727
57,0.1333
58,0.2000
59,0.8000
60,0.6667
61,0.8333
62,0.0000
63,0.0000
64,0.0000
65,0.3750
66,0.6667
67,0.4000
68,0.1667
69,0.0000
70,0.0909
71,0.1111
72,0.1667
73,0.2857
74,0.0000
75,0.1667
76,0.3750
77,0.8571
78,0.5000
79,0.3333
80,0.4000
81,0.6667
82,0.5000
83,0.0000
84,0.2500
85,0.0000
86,1.0000
87,0.0000
88,1.0000
89,0.1429
90,0.2143
91,0.4000
92,0.6429
93,1.0000
94,0.3846
95,0.6667
96,0.4286
97,0.3636
98,0.1667
99,0.6000
100,0.3000
101,1.0000
102,0.2000
103,0.3333
104,0.3333
105,0.8333
106,0.5000
107,0.3750
108,0.6250
109,0.0000
110,0.2000
111,0.5000
112,0.6667
113,0.0000
114,0.6000
115,0.0000
116,0.1667
117,0.0000
118,0.5000
119,0.0000
120,0.5000
121,0.5000
122,0.6000
123,0.6667
124,0.2000
125,0.0556
126,0.3333
127,0.1667
128,0.3333
129,0.8750
130,0.8333
131,0.3333
132,0.3750
133,0.2500
134,1.0000
135,0.4444
136,0.5000
137,0.6000
138,1.0000
139,0.0000
140,0.2857
141,0.2857
142,0.5000
143,0.3333
144,0.7143
145,0.6250
146,1.0000
147,0.3636
148,0.5714
149,0.3333
150,1.0000
151,0.0000
152,0.0000
153,0.1250
154,1.0000
155,0.5714
156,0.5333
157,0.1000
158,0.2222
159,0.2222
160,0.3333
161,0.4286
162,0.3333
163,0.7500
164,0.2222
165,1.0000
166,0.1111
167,0.3333
168,0.6667
169,0.8000
170,0.5714
171,0.7500
172,1.0000
173,1.0000
174,0.1667
175,0.3333
176,0.2500
177,1.0000
178,0.6000
179,0.4000
180,0.6250
181,0.1667
182,1.0000
183,0.5714
184,0.6250
185,0.7000
186,0.1765
187,0.2857
188,0.5000
189,0.4000
190,0.1667
191,0.2857
192,1.0000
193,0.6000
194,0.2857
195,0.2500
196,0.0000
197,1.0000
198,0.4000
199,0.0000
200,1.0000
201,0.2941
202,0.3333
203,0.1333
204,0.2000
205,0.0000
206,0.7500
207,0.0000
208,0.5714
209,0.3077
210,0.4286
211,0.1667
212,0.3333
213,0.5000
214,0.6000
215,0.6667
216,0.0000
217,0.0625
218,0.1250
219,0.0526
220,0.2000
221,0.2632
222,0.7000
223,0.4000
224,0.1111
225,0.0400
