query_id,precision
1,0.7000
2,0.2000
3,0.9000
4,0.3000
5,0.3000
6,0.2000
7,0.3000
8,0.2000
9,0.0000
10,0.5000
11,0.3000
12,0.4000
13,0.1000
14,0.0000
15,0.2000
16,0.2000
17,0.2000
18,0.2000
19,0.0000
20,0.8000
21,0.3000
22,0.0000
23,0.4000
24,0.3000
25,0.6000
26,0.2000
27,0.2000
28,0.0000
29,0.4000
30,0.1000
31,0.1000
32,0.1000
33,0.4000
34,0.5000
35,0.1000
36,0.2000
37,0.3000
38,0.2000
39,0.5000
40,0.3000
41,0.3000
42,0.4000
43,0.4000
44,0.0000
45,0.3000
46,0.5000
47,0.6000
48,0.2000
49,0.2000
50,0.0000
51,0.5000
52,0.4000
53,0.5000
54,0.2000
55,0.4000
56,0.3000
57,0.2000
58,0.2000
59,0.4000
60,0.4000
61,0.5000
62,0.0000
63,0.0000
64,0.0000
65,0.6000
66,0.4000
67,0.6000
68,0.1000
69,0.0000
70,0.1000
71,0.1000
72,0.3000
73,0.6000
74,0.0000
75,0.1000
76,0.3000
77,0.6000
78,0.2000
79,0.2000
80,0.2000
81,0.2000
82,0.3000
83,0.0000
84,0.3000
85,0.0000
86,0.3000
87,0.0000
88,0.7000
89,0.1000
90,0.3000
91,0.4000
92,0.9000
93,0.2000
94,0.5000
95,0.2000
96,0.6000
97,0.4000
98,0.1000
99,0.3000
100,0.3000
101,0.7000
102,0.1000
103,0.1000
104,0.2000
105,0.5000
106,0.3000
107,0.3000
108,0.5000
109,0.0000
110,0.1000
111,0.4000
112,0.2000
113,0.0000
114,0.3000
115,0.0000
116,0.1000
117,0.0000
118,0.2000
119,0.0000
120,0.5000
121,0.4000
122,0.6000
123,0.2000
124,0.1000
125,0.1000
126,0.3000
127,0.1000
128,0.1000
129,0.7000
130,0.5000
131,0.3000
132,0.6000
133,0.2000
134,0.3000
135,0.4000
136,0.2000
137,0.3000
138,0.3000
139,0.0000
140,0.2000
141,0.2000
142,0.1000
143,0.1000
144,0.5000
145,0.5000
146,0.3000
147,0.4000
148,0.4000
149,0.4000
150,0.3000
151,0.0000
152,0.0000
153,0.1000
154,0.3000
155,0.4000
156,0.8000
157,0.4000
158,0.2000
159,0.2000
160,0.2000
161,0.3000
162,0.3000
163,0.3000
164,0.2000
165,0.3000
166,0.1000
167,0.1000
168,0.2000
169,0.4000
170,0.4000
171,0.3000
172,0.5000
173,0.3000
174,0.1000
175,0.2000
176,0.2000
177,0.6000
178,0.3000
179,0.2000
180,0.5000
181,0.1000
182,0.3000
183,0.8000
184,0.5000
185,0.7000
186,0.3000
187,0.2000
188,0.6000
189,0.4000
190,0.1000
191,0.4000
192,0.5000
193,0.6000
194,0.2000
195,0.1000
196,0.0000
197,0.4000
198,0.2000
199,0.0000
200,0.4000
201,0.5000
202,0.5000
203,0.2000
204,0.3000
205,0.0000
206,0.3000
207,0.0000
208,0.4000
209,0.4000
210,0.3000
211,0.2000
212,0.5000
213,0.6000
214,0.3000
215,0.2000
216,0.0000
217,0.1000
218,0.2000
219,0.1000
220,0.4000
221,0.5000
222,0.7000
223,0.2000
224,0.1000
225,0.1000
