query_id,AP
1,0.1085
2,0.1109
3,0.7783
4,0.5917
5,0.3200
6,0.0000
7,0.3500
8,0.0000
9,0.0000
10,0.2734
11,0.2375
12,0.2778
13,0.2000
14,0.0000
15,0.1619
16,0.3500
17,0.3333
18,0.0000
19,0.0000
20,0.5750
21,0.6000
22,0.0000
23,0.1111
24,0.7500
25,0.3267
26,0.0238
27,0.0000
28,0.0000
29,0.3044
30,0.0156
31,0.2500
32,0.1429
33,0.1667
34,0.2890
35,0.0250
36,0.5556
37,0.0786
38,0.0455
39,0.1643
40,0.1220
41,0.4167
42,0.2101
43,0.4054
44,0.0000
45,0.0000
46,0.0000
47,0.0600
48,0.0208
49,0.1037
50,0.0000
51,0.3455
52,0.1917
53,0.1515
54,0.0667
55,0.0000
56,0.1055
57,0.0556
58,0.0000
59,0.0000
60,0.0972
61,0.3214
62,0.0833
63,0.0000
64,0.0000
65,0.1562
66,0.0833
67,0.0333
68,0.1667
69,0.0000
70,0.0152
71,0.0000
72,0.0000
73,0.2381
74,0.0143
75,0.0333
76,0.0000
77,0.3714
78,0.3333
79,0.1250
80,0.4833
81,0.0000
82,0.2083
83,0.0000
84,0.0000
85,0.0000
86,0.9167
87,0.0222
88,0.9571
89,0.0286
90,0.0000
91,0.3139
92,0.5325
93,1.0000
94,0.0000
95,0.1667
96,0.0000
97,0.2540
98,0.1667
99,0.3750
100,0.4175
101,0.7870
102,0.2000
103,0.3333
104,0.1250
105,0.6667
106,0.1083
107,0.3750
108,0.3175
109,0.0167
110,0.2000
111,0.2083
112,0.6667
113,0.0000
114,0.0333
115,0.0286
116,0.0185
117,0.0000
118,0.0250
119,0.0000
120,0.1208
121,0.0250
122,0.2361
123,0.4667
124,0.1000
125,0.0000
126,0.0648
127,0.0000
128,0.0833
129,0.4500
130,0.7306
131,0.1528
132,0.1421
133,0.0139
134,0.1852
135,0.2822
136,0.1250
137,0.3857
138,0.3611
139,0.0333
140,0.0143
141,0.0238
142,0.0000
143,0.0000
144,0.7844
145,0.5479
146,1.0000
147,0.2904
148,0.3873
149,0.2859
150,0.3373
151,0.0000
152,0.0000
153,0.1250
154,0.6556
155,0.2721
156,0.5259
157,0.0250
158,0.0778
159,0.2222
160,0.2500
161,0.0204
162,0.0370
163,0.6042
164,0.0000
165,0.1111
166,0.0000
167,0.0417
168,0.0333
169,0.1400
170,0.1599
171,0.1833
172,1.0000
173,0.0000
174,0.0238
175,0.2222
176,0.1607
177,0.9484
178,0.2857
179,0.0667
180,0.5000
181,0.0000
182,0.6667
183,0.6278
184,0.0000
185,0.5975
186,0.0564
187,0.2000
188,0.3276
189,0.1708
190,0.0833
191,0.1556
192,0.6643
193,0.5857
194,0.1429
195,0.2500
196,0.0000
197,0.9500
198,0.0400
199,0.0000
200,0.7750
201,0.1598
202,0.0333
203,0.0000
204,0.0000
205,0.0000
206,0.4500
207,0.0000
208,0.5714
209,0.0897
210,0.1905
211,0.0611
212,0.0000
213,0.1167
214,0.3467
215,0.1111
216,0.0000
217,0.0000
218,0.0000
219,0.0000
220,0.0268
221,0.0000
222,0.0100
223,0.0222
224,0.0000
225,0.0000
