query_id,fscore
1,0.3623
2,0.3846
3,0.8163
4,0.3488
5,0.3333
6,0.0000
7,0.3261
8,0.0000
9,0.0000
10,0.5102
11,0.3125
12,0.2174
13,0.1111
14,0.0000
15,0.2326
16,0.2273
17,0.1163
18,0.0000
19,0.0000
20,0.6000
21,0.3333
22,0.0000
23,0.2740
24,0.3409
25,0.5000
26,0.1064
27,0.0000
28,0.0000
29,0.4000
30,0.1042
31,0.1190
32,0.1064
33,0.2273
34,0.5319
35,0.1136
36,0.2326
37,0.2000
38,0.0980
39,0.2778
40,0.2830
41,0.2273
42,0.4348
43,0.4255
44,0.0000
45,0.0000
46,0.0000
47,0.1818
48,0.0962
49,0.2326
50,0.0000
51,0.3922
52,0.3333
53,0.1961
54,0.2000
55,0.0000
56,0.2941
57,0.1818
58,0.0000
59,0.0000
60,0.2174
61,0.3261
62,0.1087
63,0.0000
64,0.0000
65,0.2679
66,0.1087
67,0.0909
68,0.1087
69,0.0000
70,0.0980
71,0.0000
72,0.0000
73,0.4098
74,0.1064
75,0.1087
76,0.0000
77,0.3191
78,0.2273
79,0.2174
80,0.3333
81,0.0000
82,0.2174
83,0.0000
84,0.0000
85,0.0000
86,0.3488
87,0.1020
88,0.7447
89,0.1064
90,0.0000
91,0.5000
92,0.7407
93,0.2381
94,0.0000
95,0.1163
96,0.0000
97,0.4902
98,0.1087
99,0.3333
100,0.5000
101,0.7447
102,0.1111
103,0.1163
104,0.2174
105,0.4348
106,0.2174
107,0.3125
108,0.4167
109,0.1087
110,0.1111
111,0.2083
112,0.2326
113,0.0000
114,0.1111
115,0.1111
116,0.1087
117,0.0000
118,0.1136
119,0.0000
120,0.3000
121,0.1042
122,0.4000
123,0.2326
124,0.1111
125,0.0000
126,0.2041
127,0.0000
128,0.1163
129,0.5208
130,0.5435
131,0.3061
132,0.4464
133,0.1042
134,0.2326
135,0.4082
136,0.1136
137,0.3333
138,0.3488
139,0.1111
140,0.1064
141,0.1064
142,0.0000
143,0.0000
144,0.6383
145,0.5208
146,0.3488
147,0.3922
148,0.4255
149,0.4808
150,0.3488
151,0.0000
152,0.0000
153,0.1042
154,0.3488
155,0.4255
156,0.7273
157,0.0625
158,0.2041
159,0.2041
160,0.2174
161,0.1064
162,0.1020
163,0.3409
164,0.0000
165,0.1163
166,0.0000
167,0.1163
168,0.1163
169,0.2222
170,0.3191
171,0.2273
172,0.5556
173,0.0000
174,0.1087
175,0.2174
176,0.2083
177,0.6522
178,0.3333
179,0.1111
180,0.4167
181,0.0000
182,0.2326
183,0.8333
184,0.0000
185,0.8000
186,0.2632
187,0.2128
188,0.4808
189,0.3000
190,0.1087
191,0.4630
192,0.4444
193,0.6000
194,0.1064
195,0.1136
196,0.0000
197,0.4545
198,0.1111
199,0.0000
200,0.4545
201,0.3509
202,0.0909
203,0.0000
204,0.0000
205,0.0000
206,0.3409
207,0.0000
208,0.4255
209,0.2830
210,0.2128
211,0.1923
212,0.0000
213,0.1923
214,0.3333
215,0.1163
216,0.0000
217,0.0000
218,0.0000
219,0.0000
220,0.1667
221,0.0000
222,0.1000
223,0.1111
224,0.0000
225,0.0000
