query_id,nDCG
1,0.3901
2,0.3905
3,0.7606
4,0.9301
5,0.6313
6,0.0000
7,0.7356
8,0.0000
9,0.0000
10,0.4144
11,0.7531
12,0.6380
13,0.6320
14,0.0000
15,0.2620
16,0.7277
17,0.3347
18,0.0000
19,0.0000
20,0.5837
21,0.8701
22,0.0000
23,0.6020
24,0.9466
25,0.4362
26,0.1257
27,0.0000
28,0.0000
29,0.3203
30,0.1605
31,0.6055
32,0.6235
33,0.4174
34,0.4548
35,0.1304
36,0.5020
37,0.3912
38,0.2567
39,0.5448
40,0.4350
41,0.5289
42,0.4119
43,0.4000
44,0.0000
45,0.0000
46,0.0000
47,0.2729
48,0.2452
49,0.3012
50,0.0000
51,0.4873
52,0.1950
53,0.0721
54,0.1480
55,0.0000
56,0.4456
57,0.4219
58,0.0000
59,0.0000
60,0.1066
61,0.7910
62,0.0570
63,0.0000
64,0.0000
65,0.3267
66,0.1671
67,0.1828
68,0.6138
69,0.0000
70,0.1389
71,0.0000
72,0.0000
73,0.6346
74,0.1715
75,0.2375
76,0.0000
77,0.1363
78,0.3757
79,0.3386
80,0.8415
81,0.0000
82,0.1493
83,0.0000
84,0.0000
85,0.0000
86,0.6172
87,0.2240
88,0.6931
89,0.1071
90,0.0000
91,0.3311
92,0.3253
93,1.0000
94,0.0000
95,0.0253
96,0.0000
97,0.1921
98,0.7112
99,0.7972
100,0.6458
101,0.6632
102,0.1012
103,0.8155
104,0.1296
105,0.9600
106,0.2983
107,0.7254
108,0.2338
109,0.1222
110,0.4459
111,0.3488
112,0.8987
113,0.0000
114,0.1757
115,0.2033
116,0.0314
117,0.0000
118,0.0390
119,0.0000
120,0.3320
121,0.1022
122,0.4192
123,0.8466
124,0.3731
125,0.0000
126,0.1881
127,0.0000
128,0.3512
129,0.4962
130,0.8987
131,0.3860
132,0.2617
133,0.0091
134,0.2876
135,0.3372
136,0.3727
137,0.7970
138,0.5854
139,0.2030
140,0.1130
141,0.0627
142,0.0000
143,0.0000
144,0.7637
145,0.6150
146,0.9395
147,0.7699
148,0.5252
149,0.2671
150,0.4151
151,0.0000
152,0.0000
153,0.6865
154,0.5181
155,0.3143
156,0.4473
157,0.1759
158,0.3554
159,0.6643
160,0.7975
161,0.0128
162,0.0688
163,0.5568
164,0.0000
165,0.2346
166,0.0000
167,0.2262
168,0.1357
169,0.3120
170,0.2841
171,0.4106
172,0.7862
173,0.0000
174,0.1205
175,0.6212
176,0.4291
177,0.8325
178,0.4515
179,0.0720
180,0.7855
181,0.0000
182,0.9422
183,0.2195
184,0.0000
185,0.6088
186,0.1290
187,0.7264
188,0.5342
189,0.5209
190,0.0509
191,0.1851
192,0.8123
193,0.6674
194,0.4993
195,0.7620
196,0.0000
197,0.7904
198,0.1000
199,0.0000
200,0.8245
201,0.2319
202,0.2935
203,0.0000
204,0.0000
205,0.0000
206,0.8277
207,0.0000
208,0.9141
209,0.1088
210,0.2218
211,0.0320
212,0.0000
213,0.1081
214,0.8186
215,0.4649
216,0.0000
217,0.0000
218,0.0000
219,0.0000
220,0.0760
221,0.0000
222,0.0375
223,0.0433
224,0.0000
225,0.0000
